,filter,stype,base,change,spkr_uar_sig
0,fluency,0.0,0.868,0.02073732718894011,*
0,fluency,1.0,0.927,0.006472491909385119,**
0,subtype,Wernicke,0.916,0.007641921397379919,-
0,subtype,TransMotor,0.916,0.00873362445414848,-
0,subtype,Broca,0.853,0.024618991793669425,*
0,subtype,Anomic,0.921,0.0065146579804560316,**
0,subtype,Conduction,0.925,0.008648648648648656,**
0,subtype,Global,0.836,0.027511961722488064,-
0,subtype,NA,0.943,0.005302226935312836,*
0,sev,v_severe,0.763,0.0026212319790301464,-
0,sev,mild,0.932,0.006437768240343234,**
0,sev,unk,0.897,0.01003344481605352,**
0,sev,severe,0.874,0.011441647597254015,-
0,sev,moderate,0.929,0.007534983853606034,**
0,sev-fluency,mild-True,0.932,0.006437768240343234,**
0,sev-fluency,v_se-Fals,0.763,0.0026212319790301464,-
0,sev-fluency,seve-Fals,0.761,0.04336399474375825,*
0,sev-fluency,mode-Fals,0.913,0.013143483023001107,*
0,sev-fluency,mode-True,0.933,0.006430868167202459,**
0,sev-fluency,seve-True,0.896,0.006696428571428577,**
0,sev-subtype,seve-Cond,0.881,0.004540295119182751,**
0,sev-subtype,mild-Anom,0.928,0.005387931034482763,**
0,sev-subtype,seve-Wern,0.899,0.007786429365962187,**
0,sev-subtype,mode-Cond,0.929,0.008611410118406897,**
0,sev-subtype,mode-Tran,0.916,0.00873362445414848,**
0,sev-subtype,v_se-Glob,0.836,0.027511961722488064,**
0,sev-subtype,mild-NA,0.946,0.005285412262156453,**
0,sev-subtype,mild-Cond,0.925,0.01081081081081082,**
0,sev-subtype,v_se-Broc,0.662,0.0045317220543806686,**
0,sev-subtype,mode-Wern,0.955,0.002094240837696337,**
0,sev-subtype,mode-Anom,0.943,-0.003181336161187702,**
0,sev-subtype,mode-Broc,0.91,0.014285714285714297,**
0,sev-subtype,seve-Broc,0.761,0.04336399474375825,**
